fips_code,county_name,state_name,pop25,pop_25plus_highschool_plus,pop_25plus_bachelor_plus
12023,Columbia County,Florida,49348,42187,8066
12027,DeSoto County,Florida,25595,18682,2810
12029,Dixie County,Florida,12824,10559,1037
12031,Duval County,Florida,692564,630266,229175
12033,Escambia County,Florida,220330,199385,63741
12035,Flagler County,Florida,94388,87863,28731
12037,Franklin County,Florida,9911,8233,2506
12039,Gadsden County,Florida,30594,24869,6144
12041,Gilchrist County,Florida,13146,11245,1909
12043,Glades County,Florida,9591,6941,1219
12045,Gulf County,Florida,11704,10152,2866
12047,Hamilton County,Florida,9727,7620,1090
12049,Hardee County,Florida,16737,13117,2051
12051,Hendry County,Florida,26209,18216,2812
12053,Hernando County,Florida,150881,135878,30837
12055,Highlands County,Florida,80495,69519,15880
12057,Hillsborough County,Florida,1029578,922329,382542
12059,Holmes County,Florida,14231,11976,1715
12061,Indian River County,Florida,128465,118172,42950
12063,Jackson County,Florida,34886,29031,5109
12065,Jefferson County,Florida,10959,9617,2065
12067,Lafayette County,Florida,5874,4701,464
12069,Lake County,Florida,296660,269738,79453
12071,Lee County,Florida,599971,542252,184547
12073,Leon County,Florida,177148,166006,86063
12075,Levy County,Florida,32667,28670,5284
12077,Liberty County,Florida,5500,4345,867
12079,Madison County,Florida,13642,10993,1705
12081,Manatee County,Florida,315476,287231,108347
12083,Marion County,Florida,289496,259431,64777
12085,Martin County,Florida,124657,115584,45671
12086,Miami-Dade County,Florida,1925233,1599017,639297
12087,Monroe County,Florida,64499,60150,24381
12089,Nassau County,Florida,70388,64978,24296
12091,Okaloosa County,Florida,147674,137952,50536
12093,Okeechobee County,Florida,28661,22925,4615
12095,Orange County,Florida,981355,883489,376923
12097,Osceola County,Florida,272875,241779,77102
12099,Palm Beach County,Florida,1111600,990795,439656
12101,Pasco County,Florida,426904,389399,119691
12103,Pinellas County,Florida,748831,693121,268418
12105,Polk County,Florida,527470,461635,119424
12107,Putnam County,Florida,53091,43648,7483
12109,St. Johns County,Florida,209173,198994,101679
12111,St. Lucie County,Florida,253716,224859,64367
12113,Santa Rosa County,Florida,136650,126585,42334
12115,Sarasota County,Florida,360732,340420,143058
12117,Seminole County,Florida,338288,317603,143383
12119,Sumter County,Florida,123814,115352,43417
12121,Suwannee County,Florida,31419,26553,5163
12123,Taylor County,Florida,15651,13493,2357
12125,Union County,Florida,11189,8764,1119
12127,Volusia County,Florida,423543,389406,115140
12129,Wakulla County,Florida,25122,21978,5345
12131,Walton County,Florida,58484,53459,20019
12133,Washington County,Florida,18557,15419,2317
13001,Appling County,Georgia,12283,9953,1222
13003,Atkinson County,Georgia,5471,3918,537
13005,Bacon County,Georgia,7248,6131,799
13007,Baker County,Georgia,2050,1856,346
13009,Baldwin County,Georgia,27478,23415,6630
13011,Banks County,Georgia,13263,10910,2300
13013,Barrow County,Georgia,57739,50591,12138
13015,Bartow County,Georgia,75236,66694,17258
13017,Ben Hill County,Georgia,11447,9647,1386
13019,Berrien County,Georgia,12635,10461,1617
13021,Bibb County,Georgia,103355,90337,26859
13023,Bleckley County,Georgia,8072,7096,1476
13025,Brantley County,Georgia,12617,10249,1375
13027,Brooks County,Georgia,11477,9521,1557
13029,Bryan County,Georgia,29359,27257,10169
13031,Bulloch County,Georgia,46284,41480,14256
13033,Burke County,Georgia,15603,13123,2225
13035,Butts County,Georgia,18277,15307,2541
13037,Calhoun County,Georgia,4208,3246,511
13039,Camden County,Georgia,36290,33562,8141
13043,Candler County,Georgia,7275,5752,992
13045,Carroll County,Georgia,78111,66196,17521
13047,Catoosa County,Georgia,47726,42866,11679
13049,Charlton County,Georgia,8625,7353,983
13051,Chatham County,Georgia,204283,186383,75082
13053,Chattahoochee County,Georgia,4253,4131,1173
13055,Chattooga County,Georgia,17526,13012,1880
13057,Cherokee County,Georgia,188031,173257,74184
13059,Clarke County,Georgia,74258,66806,36142
13061,Clay County,Georgia,1964,1677,443
13063,Clayton County,Georgia,188480,159834,40227
13065,Clinch County,Georgia,4662,3785,607
13067,Cobb County,Georgia,523711,485965,263860
13069,Coffee County,Georgia,28745,22894,3883
13071,Colquitt County,Georgia,30166,24048,4735
13073,Columbia County,Georgia,107015,99617,40490
13075,Cook County,Georgia,11392,9494,1908
13077,Coweta County,Georgia,102700,94338,35594
13079,Crawford County,Georgia,8558,7153,1199
13081,Crisp County,Georgia,13819,11634,2144
13083,Dade County,Georgia,11421,10098,2171
13085,Dawson County,Georgia,20649,18445,7383
13087,Decatur County,Georgia,19376,16109,2836
13089,DeKalb County,Georgia,522619,474579,244312
13091,Dodge County,Georgia,14341,12341,2185
13093,Dooly County,Georgia,8540,7084,1143
13095,Dougherty County,Georgia,54875,46839,12752
13097,Douglas County,Georgia,95203,87016,29327
13099,Early County,Georgia,7004,5672,1128
13101,Echols County,Georgia,2304,1878,332
13103,Effingham County,Georgia,44179,40094,11839
13105,Elbert County,Georgia,13991,11880,2079
13107,Emanuel County,Georgia,15309,12153,1966
13109,Evans County,Georgia,7010,5776,1058
13111,Fannin County,Georgia,20002,17659,4520
13113,Fayette County,Georgia,82966,78797,39899
13115,Floyd County,Georgia,65894,55957,16438
13117,Forsyth County,Georgia,171436,161252,97038
13119,Franklin County,Georgia,16158,13254,2735
13121,Fulton County,Georgia,738924,691884,428540
13123,Gilmer County,Georgia,23983,20591,5452
13125,Glascock County,Georgia,1965,1648,292
13127,Glynn County,Georgia,60568,54294,18438
13129,Gordon County,Georgia,39718,31570,7011
