fips_code,county_name,state_name,pct_households_owner_occupied,pct_households_renter_occupied
08095,Phillips County,Colorado,74.9,25.1
08097,Pitkin County,Colorado,67.5,32.5
08099,Prowers County,Colorado,70.3,29.7
08101,Pueblo County,Colorado,68.3,31.7
08103,Rio Blanco County,Colorado,75.9,24.1
08105,Rio Grande County,Colorado,68.4,31.6
08107,Routt County,Colorado,75.9,24.1
08109,Saguache County,Colorado,75.1,24.9
08111,San Juan County,Colorado,55.5,44.5
08113,San Miguel County,Colorado,65.2,34.8
08115,Sedgwick County,Colorado,72.3,27.7
08117,Summit County,Colorado,69.2,30.8
08119,Teller County,Colorado,82.2,17.8
08121,Washington County,Colorado,71.7,28.3
08123,Weld County,Colorado,75.5,24.5
08125,Yuma County,Colorado,69.9,30.1
09110,Capitol Planning Region,Connecticut,65.4,34.6
09120,Greater Bridgeport Planning Region,Connecticut,65.4,34.6
09130,Lower Connecticut River Valley Planning Region,Connecticut,75.2,24.8
09140,Naugatuck Valley Planning Region,Connecticut,67.6,32.4
09150,Northeastern Connecticut Planning Region,Connecticut,76.2,23.8
09160,Northwest Hills Planning Region,Connecticut,75.9,24.1
09170,South Central Connecticut Planning Region,Connecticut,60.6,39.4
09180,Southeastern Connecticut Planning Region,Connecticut,65.4,34.6
09190,Western Connecticut Planning Region,Connecticut,66.2,33.8
10001,Kent County,Delaware,71.0,29.0
10003,New Castle County,Delaware,68.5,31.5
10005,Sussex County,Delaware,81.3,18.7
11001,District of Columbia,District of Columbia,41.1,58.9
12001,Alachua County,Florida,54.1,45.9
12003,Baker County,Florida,83.2,16.8
12005,Bay County,Florida,68.3,31.7
12007,Bradford County,Florida,70.9,29.1
12009,Brevard County,Florida,76.9,23.1
12011,Broward County,Florida,63.3,36.7
12013,Calhoun County,Florida,76.9,23.1
12015,Charlotte County,Florida,83.2,16.8
12017,Citrus County,Florida,84.8,15.2
12019,Clay County,Florida,76.2,23.8
12021,Collier County,Florida,76.0,24.0
12023,Columbia County,Florida,70.9,29.1
12027,DeSoto County,Florida,71.3,28.7
12029,Dixie County,Florida,83.8,16.2
12031,Duval County,Florida,58.1,41.9
12033,Escambia County,Florida,64.0,36.0
12035,Flagler County,Florida,81.5,18.5
12037,Franklin County,Florida,77.2,22.8
12039,Gadsden County,Florida,72.9,27.1
12041,Gilchrist County,Florida,83.7,16.3
12043,Glades County,Florida,79.7,20.3
12045,Gulf County,Florida,80.3,19.7
12047,Hamilton County,Florida,74.9,25.1
12049,Hardee County,Florida,71.4,28.6
12051,Hendry County,Florida,72.4,27.6
12053,Hernando County,Florida,81.8,18.2
12055,Highlands County,Florida,78.9,21.1
12057,Hillsborough County,Florida,61.1,38.9
12059,Holmes County,Florida,76.7,23.3
12061,Indian River County,Florida,79.3,20.7
12063,Jackson County,Florida,74.5,25.5
12065,Jefferson County,Florida,75.1,24.9
12067,Lafayette County,Florida,81.4,18.6
12069,Lake County,Florida,76.6,23.4
12071,Lee County,Florida,74.0,26.0
12073,Leon County,Florida,51.9,48.1
12075,Levy County,Florida,79.8,20.2
12077,Liberty County,Florida,79.5,20.5
12079,Madison County,Florida,72.0,28.0
12081,Manatee County,Florida,74.7,25.3
12083,Marion County,Florida,76.7,23.3
12085,Martin County,Florida,80.1,19.9
12086,Miami-Dade County,Florida,52.2,47.8
12087,Monroe County,Florida,63.4,36.6
12089,Nassau County,Florida,83.0,17.0
12091,Okaloosa County,Florida,67.8,32.2
12093,Okeechobee County,Florida,74.6,25.4
12095,Orange County,Florida,57.4,42.6
12097,Osceola County,Florida,66.2,33.8
12099,Palm Beach County,Florida,69.9,30.1
12101,Pasco County,Florida,75.5,24.5
12103,Pinellas County,Florida,69.4,30.6
12105,Polk County,Florida,70.0,30.0
12107,Putnam County,Florida,72.6,27.4
12109,St. Johns County,Florida,82.1,17.9
12111,St. Lucie County,Florida,77.7,22.3
12113,Santa Rosa County,Florida,80.0,20.0
12115,Sarasota County,Florida,76.3,23.7
12117,Seminole County,Florida,65.8,34.2
12119,Sumter County,Florida,88.1,11.9
12121,Suwannee County,Florida,74.5,25.5
12123,Taylor County,Florida,72.6,27.4
12125,Union County,Florida,73.6,26.4
12127,Volusia County,Florida,72.8,27.2
12129,Wakulla County,Florida,83.8,16.2
12131,Walton County,Florida,77.2,22.8
12133,Washington County,Florida,79.8,20.2
13001,Appling County,Georgia,71.8,28.2
13003,Atkinson County,Georgia,64.6,35.4
13005,Bacon County,Georgia,73.9,26.1
13007,Baker County,Georgia,72.7,27.3
13009,Baldwin County,Georgia,64.2,35.8
13011,Banks County,Georgia,76.7,23.3
13013,Barrow County,Georgia,79.5,20.5
13015,Bartow County,Georgia,73.9,26.1
13017,Ben Hill County,Georgia,59.8,40.2
13019,Berrien County,Georgia,69.0,31.0
13021,Bibb County,Georgia,51.5,48.5
13023,Bleckley County,Georgia,73.3,26.7
13025,Brantley County,Georgia,77.3,22.7
13027,Brooks County,Georgia,70.4,29.6
13029,Bryan County,Georgia,75.6,24.4
13031,Bulloch County,Georgia,53.3,46.7
13033,Burke County,Georgia,72.7,27.3
13035,Butts County,Georgia,71.1,28.9
13037,Calhoun County,Georgia,62.9,37.1
13039,Camden County,Georgia,63.8,36.2
13043,Candler County,Georgia,62.5,37.5
13045,Carroll County,Georgia,69.3,30.7
13047,Catoosa County,Georgia,75.1,24.9
13049,Charlton County,Georgia,78.1,21.9
13051,Chatham County,Georgia,56.3,43.7
13053,Chattahoochee County,Georgia,36.0,64.0
13055,Chattooga County,Georgia,67.4,32.6
13057,Cherokee County,Georgia,77.4,22.6
13059,Clarke County,Georgia,41.2,58.8
13061,Clay County,Georgia,76.9,23.1
13063,Clayton County,Georgia,53.2,46.8
13065,Clinch County,Georgia,70.1,29.9
13067,Cobb County,Georgia,67.0,33.0
13069,Coffee County,Georgia,63.1,36.9
13071,Colquitt County,Georgia,63.4,36.6
13073,Columbia County,Georgia,78.5,21.5
13075,Cook County,Georgia,64.1,35.9
13077,Coweta County,Georgia,77.6,22.4
13079,Crawford County,Georgia,84.5,15.5
13081,Crisp County,Georgia,53.7,46.3
13083,Dade County,Georgia,77.9,22.1
13085,Dawson County,Georgia,78.4,21.6
