FIPS Code,County Name,State Name,median_age,sex_ratio
12105,Polk County,Florida,39.6,97.2
12107,Putnam County,Florida,45.0,98.0
12109,St. Johns County,Florida,44.0,95.9
12111,St. Lucie County,Florida,45.3,96.5
12113,Santa Rosa County,Florida,40.0,104.7
12115,Sarasota County,Florida,57.3,92.1
12117,Seminole County,Florida,39.8,94.8
12119,Sumter County,Florida,68.4,98.5
12121,Suwannee County,Florida,42.5,110.1
12123,Taylor County,Florida,43.8,119.1
12125,Union County,Florida,40.1,181.3
12127,Volusia County,Florida,46.6,96.0
12129,Wakulla County,Florida,42.5,120.0
12131,Walton County,Florida,43.8,103.4
12133,Washington County,Florida,41.6,110.8
13001,Appling County,Georgia,39.9,100.9
13003,Atkinson County,Georgia,36.2,94.3
13005,Bacon County,Georgia,39.0,96.3
13007,Baker County,Georgia,48.1,92.4
13009,Baldwin County,Georgia,36.4,101.3
13011,Banks County,Georgia,42.4,100.6
13013,Barrow County,Georgia,36.4,97.5
13015,Bartow County,Georgia,38.0,99.1
13017,Ben Hill County,Georgia,38.5,85.5
13019,Berrien County,Georgia,39.8,101.0
13021,Bibb County,Georgia,36.6,89.1
13023,Bleckley County,Georgia,37.4,97.8
13025,Brantley County,Georgia,40.9,97.3
13027,Brooks County,Georgia,43.0,88.7
13029,Bryan County,Georgia,34.7,99.6
13031,Bulloch County,Georgia,30.2,94.3
13033,Burke County,Georgia,38.4,96.2
13035,Butts County,Georgia,38.5,115.9
13037,Calhoun County,Georgia,39.7,161.7
13039,Camden County,Georgia,34.6,108.1
13043,Candler County,Georgia,41.0,95.5
13045,Carroll County,Georgia,35.3,95.0
13047,Catoosa County,Georgia,40.8,96.0
13049,Charlton County,Georgia,38.0,138.0
13051,Chatham County,Georgia,37.1,92.7
13053,Chattahoochee County,Georgia,23.9,201.0
13055,Chattooga County,Georgia,41.1,106.8
13057,Cherokee County,Georgia,40.0,98.1
13059,Clarke County,Georgia,29.4,90.2
13061,Clay County,Georgia,46.1,82.1
13063,Clayton County,Georgia,33.3,88.6
13065,Clinch County,Georgia,38.8,101.0
13067,Cobb County,Georgia,37.4,95.0
13069,Coffee County,Georgia,36.6,105.9
13071,Colquitt County,Georgia,37.2,100.3
13073,Columbia County,Georgia,37.5,95.8
13075,Cook County,Georgia,37.5,96.7
13077,Coweta County,Georgia,39.0,95.1
13079,Crawford County,Georgia,46.0,107.5
13081,Crisp County,Georgia,40.4,94.9
13083,Dade County,Georgia,42.2,102.2
13085,Dawson County,Georgia,43.9,104.3
13087,Decatur County,Georgia,38.7,93.2
13089,DeKalb County,Georgia,36.3,90.4
13091,Dodge County,Georgia,42.4,111.8
13093,Dooly County,Georgia,45.9,122.7
13095,Dougherty County,Georgia,36.6,84.9
13097,Douglas County,Georgia,36.8,91.2
13099,Early County,Georgia,40.7,90.2
13101,Echols County,Georgia,31.2,83.6
13103,Effingham County,Georgia,36.6,98.1
13105,Elbert County,Georgia,42.4,89.7
13107,Emanuel County,Georgia,38.6,101.1
13109,Evans County,Georgia,36.9,91.2
13111,Fannin County,Georgia,54.0,96.6
13113,Fayette County,Georgia,43.3,94.5
13115,Floyd County,Georgia,37.8,95.8
13117,Forsyth County,Georgia,39.4,100.0
13119,Franklin County,Georgia,40.2,97.6
13121,Fulton County,Georgia,36.2,94.7
13123,Gilmer County,Georgia,50.0,100.6
13125,Glascock County,Georgia,43.2,79.7
13127,Glynn County,Georgia,43.3,88.2
13129,Gordon County,Georgia,38.8,98.9
13131,Grady County,Georgia,39.4,94.9
13133,Greene County,Georgia,52.3,100.9
13135,Gwinnett County,Georgia,35.9,96.2
13137,Habersham County,Georgia,39.6,90.7
13139,Hall County,Georgia,38.2,99.6
13141,Hancock County,Georgia,47.3,112.4
13143,Haralson County,Georgia,38.8,97.3
13145,Harris County,Georgia,43.3,103.5
13147,Hart County,Georgia,44.7,99.0
13149,Heard County,Georgia,41.2,98.2
13151,Henry County,Georgia,37.0,90.7
13153,Houston County,Georgia,36.2,94.6
13155,Irwin County,Georgia,40.4,106.1
13157,Jackson County,Georgia,38.1,99.4
13159,Jasper County,Georgia,43.1,95.9
13161,Jeff Davis County,Georgia,40.5,105.9
13163,Jefferson County,Georgia,40.7,94.8
13165,Jenkins County,Georgia,42.3,114.0
13167,Johnson County,Georgia,44.1,154.2
13169,Jones County,Georgia,41.4,94.7
13171,Lamar County,Georgia,38.7,94.9
13173,Lanier County,Georgia,36.7,96.7
13175,Laurens County,Georgia,39.9,89.1
13177,Lee County,Georgia,37.2,100.6
13179,Liberty County,Georgia,28.7,106.5
13181,Lincoln County,Georgia,48.3,94.6
13183,Long County,Georgia,33.6,101.2
13185,Lowndes County,Georgia,31.3,93.6
13187,Lumpkin County,Georgia,36.9,97.5
13189,McDuffie County,Georgia,39.1,97.1
13191,McIntosh County,Georgia,52.1,101.2
13193,Macon County,Georgia,39.9,120.7
13195,Madison County,Georgia,39.8,94.3
13197,Marion County,Georgia,43.9,92.2
13199,Meriwether County,Georgia,43.6,90.3
13201,Miller County,Georgia,42.8,89.1
13205,Mitchell County,Georgia,39.9,104.7
13207,Monroe County,Georgia,42.5,100.8
13209,Montgomery County,Georgia,38.2,106.4
13211,Morgan County,Georgia,42.3,97.9
13213,Murray County,Georgia,39.3,100.5
13215,Muscogee County,Georgia,35.1,93.1
13217,Newton County,Georgia,36.4,87.4
13219,Oconee County,Georgia,40.7,97.8
13221,Oglethorpe County,Georgia,42.6,101.6
13223,Paulding County,Georgia,36.7,95.9
13225,Peach County,Georgia,37.8,96.4
13227,Pickens County,Georgia,46.1,98.6
13229,Pierce County,Georgia,40.3,103.8
13231,Pike County,Georgia,39.9,94.9
13233,Polk County,Georgia,38.5,96.8
13235,Pulaski County,Georgia,43.7,75.3
13237,Putnam County,Georgia,47.4,97.0
13239,Quitman County,Georgia,59.4,124.0
13241,Rabun County,Georgia,49.9,95.4
13243,Randolph County,Georgia,37.6,80.9
13245,Richmond County,Georgia,35.0,93.8
13247,Rockdale County,Georgia,39.2,89.0
13249,Schley County,Georgia,41.6,94.4
13251,Screven County,Georgia,42.7,91.1
13253,Seminole County,Georgia,45.7,92.7
13255,Spalding County,Georgia,39.2,90.9
13257,Stephens County,Georgia,41.2,90.9
13259,Stewart County,Georgia,36.7,194.6
13261,Sumter County,Georgia,37.0,86.7
13263,Talbot County,Georgia,50.5,92.0
13265,Taliaferro County,Georgia,44.8,86.7
13267,Tattnall County,Georgia,38.1,139.2
13269,Taylor County,Georgia,42.9,90.8
13271,Telfair County,Georgia,39.4,135.0
13273,Terrell County,Georgia,41.4,98.6
13275,Thomas County,Georgia,39.9,90.0
13277,Tift County,Georgia,37.3,93.9
13279,Toombs County,Georgia,37.2,93.3
13281,Towns County,Georgia,56.9,95.3
13283,Treutlen County,Georgia,39.6,106.2
13285,Troup County,Georgia,37.2,91.4
13287,Turner County,Georgia,37.4,86.9
13289,Twiggs County,Georgia,47.2,100.5
13291,Union County,Georgia,55.9,98.4
13293,Upson County,Georgia,41.4,91.1
13295,Walker County,Georgia,41.8,99.2
13297,Walton County,Georgia,39.7,95.8
13299,Ware County,Georgia,38.0,100.7
13301,Warren County,Georgia,45.3,87.2
13303,Washington County,Georgia,40.6,106.0
13305,Wayne County,Georgia,38.9,99.2
13307,Webster County,Georgia,42.8,107.6
13309,Wheeler County,Georgia,39.5,187.0
13311,White County,Georgia,45.4,97.2
13313,Whitfield County,Georgia,36.6,100.1
13315,Wilcox County,Georgia,41.3,151.3
13317,Wilkes County,Georgia,46.3,94.5
13319,Wilkinson County,Georgia,43.2,92.2
13321,Worth County,Georgia,43.0,90.0
15001,Hawaii County,Hawaii,44.1,98.9
15003,Honolulu County,Hawaii,39.4,102.2
15005,Kalawao County,Hawaii,39.9,207.1
15007,Kauai County,Hawaii,42.7,99.4
15009,Maui County,Hawaii,42.9,99.5
16001,Ada County,Idaho,38.3,101.5
16003,Adams County,Idaho,54.3,105.3
16005,Bannock County,Idaho,35.0,100.8
16007,Bear Lake County,Idaho,40.2,103.1
16009,Benewah County,Idaho,46.0,105.2
16011,Bingham County,Idaho,34.8,100.8
16013,Blaine County,Idaho,45.5,110.8
16015,Boise County,Idaho,53.5,103.2
16017,Bonner County,Idaho,48.2,100.1
16019,Bonneville County,Idaho,33.3,100.6
16021,Boundary County,Idaho,42.8,104.7
16023,Butte County,Idaho,39.2,104.2
16025,Camas County,Idaho,34.9,88.4
16027,Canyon County,Idaho,34.8,99.4
16029,Caribou County,Idaho,38.0,106.3
16031,Cassia County,Idaho,33.1,105.6
16033,Clark County,Idaho,33.4,113.8
16035,Clearwater County,Idaho,52.0,122.7
16037,Custer County,Idaho,59.5,108.7
16039,Elmore County,Idaho,32.5,114.3
16041,Franklin County,Idaho,32.5,106.7
16043,Fremont County,Idaho,39.9,107.4
16045,Gem County,Idaho,42.8,103.9
16047,Gooding County,Idaho,38.4,101.9
16049,Idaho County,Idaho,49.6,109.6
16051,Jefferson County,Idaho,32.3,105.4
16053,Jerome County,Idaho,33.6,106.7
