fips_code,county_name,state_name,households,households_with_internet
13299,Ware County,Georgia,12866,9323
13301,Warren County,Georgia,1999,1237
13303,Washington County,Georgia,7272,5873
13305,Wayne County,Georgia,11045,9284
13307,Webster County,Georgia,849,607
13309,Wheeler County,Georgia,1545,1196
13311,White County,Georgia,10422,9062
13313,Whitfield County,Georgia,36101,31570
13315,Wilcox County,Georgia,2504,1795
13317,Wilkes County,Georgia,4108,2525
13319,Wilkinson County,Georgia,3347,2596
13321,Worth County,Georgia,7876,5845
15001,Hawaii County,Hawaii,72958,65587
15003,Honolulu County,Hawaii,337061,308940
15005,Kalawao County,Hawaii,22,21
15007,Kauai County,Hawaii,23465,22027
15009,Maui County,Hawaii,55485,49420
16001,Ada County,Idaho,196700,186114
16003,Adams County,Idaho,1752,1418
16005,Bannock County,Idaho,33340,29245
16007,Bear Lake County,Idaho,2308,2069
16009,Benewah County,Idaho,3978,3303
16011,Bingham County,Idaho,16009,14356
16013,Blaine County,Idaho,9822,9379
16015,Boise County,Idaho,3524,3229
16017,Bonner County,Idaho,19599,17161
16019,Bonneville County,Idaho,43378,40145
16021,Boundary County,Idaho,4835,4388
16023,Butte County,Idaho,1017,892
16025,Camas County,Idaho,339,292
16027,Canyon County,Idaho,82864,76972
16029,Caribou County,Idaho,2430,2265
16031,Cassia County,Idaho,8238,7295
16033,Clark County,Idaho,252,213
16035,Clearwater County,Idaho,3561,2942
16037,Custer County,Idaho,1933,1672
16039,Elmore County,Idaho,10848,9897
16041,Franklin County,Idaho,4870,4652
16043,Fremont County,Idaho,4506,4190
16045,Gem County,Idaho,7406,6656
16047,Gooding County,Idaho,5512,4698
16049,Idaho County,Idaho,6567,5526
16051,Jefferson County,Idaho,9899,9356
16053,Jerome County,Idaho,8198,7159
16055,Kootenai County,Idaho,69104,63023
16057,Latah County,Idaho,16058,14436
16059,Lemhi County,Idaho,3350,2850
16061,Lewis County,Idaho,1546,1239
16063,Lincoln County,Idaho,1836,1536
16065,Madison County,Idaho,12778,10114
16067,Minidoka County,Idaho,7814,6771
16069,Nez Perce County,Idaho,17250,15025
16071,Oneida County,Idaho,1932,1658
16073,Owyhee County,Idaho,4248,3603
16075,Payette County,Idaho,9481,8235
16077,Power County,Idaho,2708,2435
16079,Shoshone County,Idaho,5679,4846
16081,Teton County,Idaho,4573,4302
16083,Twin Falls County,Idaho,33912,30585
16085,Valley County,Idaho,3778,3456
16087,Washington County,Idaho,4089,3542
17001,Adams County,Illinois,27770,23488
17003,Alexander County,Illinois,1826,1070
17005,Bond County,Illinois,6256,5341
17007,Boone County,Illinois,19155,17064
17009,Brown County,Illinois,2021,1660
17011,Bureau County,Illinois,14011,11758
17013,Calhoun County,Illinois,1222,1058
17015,Carroll County,Illinois,6478,5555
17017,Cass County,Illinois,5135,4369
17019,Champaign County,Illinois,83777,74517
17021,Christian County,Illinois,13534,11371
17023,Clark County,Illinois,6597,5754
17025,Clay County,Illinois,5431,4649
17027,Clinton County,Illinois,14463,12982
17029,Coles County,Illinois,20335,17621
17031,Cook County,Illinois,2084578,1861623
17033,Crawford County,Illinois,7411,6587
17035,Cumberland County,Illinois,4180,3584
17037,DeKalb County,Illinois,39314,36508
17039,De Witt County,Illinois,6642,5667
17041,Douglas County,Illinois,7821,6289
17043,DuPage County,Illinois,349497,330249
17045,Edgar County,Illinois,7612,6575
17047,Edwards County,Illinois,2653,2219
17049,Effingham County,Illinois,14030,12638
17051,Fayette County,Illinois,7832,6448
17053,Ford County,Illinois,5728,4897
17055,Franklin County,Illinois,16130,13351
17057,Fulton County,Illinois,13902,12044
17059,Gallatin County,Illinois,2096,1621
17061,Greene County,Illinois,4514,3890
17063,Grundy County,Illinois,20518,18572
17065,Hamilton County,Illinois,3350,2722
17067,Hancock County,Illinois,7515,6200
17069,Hardin County,Illinois,1484,1128
17071,Henderson County,Illinois,2662,2203
17073,Henry County,Illinois,20261,17219
17075,Iroquois County,Illinois,11333,9582
17077,Jackson County,Illinois,23088,19791
17079,Jasper County,Illinois,3766,3349
17081,Jefferson County,Illinois,14805,12639
17083,Jersey County,Illinois,7984,6715
17085,Jo Daviess County,Illinois,10385,9044
17087,Johnson County,Illinois,4133,3304
17089,Kane County,Illinois,183196,169617
17091,Kankakee County,Illinois,40895,35629
17093,Kendall County,Illinois,44526,42384
17095,Knox County,Illinois,20765,16745
17097,Lake County,Illinois,256660,240238
17099,LaSalle County,Illinois,45092,39171
17101,Lawrence County,Illinois,5414,4793
17103,Lee County,Illinois,13382,11487
17105,Livingston County,Illinois,14614,12514
17107,Logan County,Illinois,11122,9511
17109,McDonough County,Illinois,11760,9638
17111,McHenry County,Illinois,116329,110788
17113,McLean County,Illinois,69072,60711
17115,Macon County,Illinois,43334,36946
17117,Macoupin County,Illinois,17431,15142
17119,Madison County,Illinois,109385,98538
17121,Marion County,Illinois,15465,13179
17123,Marshall County,Illinois,4964,4161
17125,Mason County,Illinois,5714,4965
17127,Massac County,Illinois,5482,4278
17129,Menard County,Illinois,5195,4656
17131,Mercer County,Illinois,6413,5735
17133,Monroe County,Illinois,13830,12689
17135,Montgomery County,Illinois,11265,9343
17137,Morgan County,Illinois,13125,10843
17139,Moultrie County,Illinois,5822,4725
17141,Ogle County,Illinois,20695,18020
17143,Peoria County,Illinois,77074,68180
17145,Perry County,Illinois,7994,6842
17147,Piatt County,Illinois,6851,6001
17149,Pike County,Illinois,5815,4684
17151,Pope County,Illinois,1364,996
17153,Pulaski County,Illinois,1862,1062
17155,Putnam County,Illinois,2473,2094
17157,Randolph County,Illinois,11671,9897
17159,Richland County,Illinois,6401,5558
17161,Rock Island County,Illinois,61192,54704
17163,St. Clair County,Illinois,101273,89376
17165,Saline County,Illinois,10032,7656
17167,Sangamon County,Illinois,84290,74128
17169,Schuyler County,Illinois,2732,2391
17171,Scott County,Illinois,2032,1690
17173,Shelby County,Illinois,8795,7619
17175,Stark County,Illinois,2289,1923
17177,Stephenson County,Illinois,19469,16493
17179,Tazewell County,Illinois,53812,47555
17181,Union County,Illinois,6914,4991
17183,Vermilion County,Illinois,30185,25850
17185,Wabash County,Illinois,4784,3978
17187,Warren County,Illinois,6722,5688
17189,Washington County,Illinois,5722,5004
