fips_code,county_name,state_name,latitude,longitude
31179,Wayne County,Nebraska,42.20928325002284,-97.11929000135156
31181,Webster County,Nebraska,40.17643982543858,-98.49996722595236
31183,Wheeler County,Nebraska,41.914757144982424,-98.52818871585833
31185,York County,Nebraska,40.87273618162427,-97.5971056692914
32001,Churchill County,Nevada,39.58089497521216,-118.33574995769791
32003,Clark County,Nevada,36.21518647332633,-115.01350663482776
32005,Douglas County,Nevada,38.9122671216851,-119.61619670444806
32007,Elko County,Nevada,41.14576578117373,-115.3577281078068
32009,Esmeralda County,Nevada,37.7846167742577,-117.63228133532537
32011,Eureka County,Nevada,39.98386801766992,-116.26857845492471
32013,Humboldt County,Nevada,41.40684020335828,-118.11199313882173
32015,Lander County,Nevada,39.93353134392293,-117.03811375855868
32017,Lincoln County,Nevada,37.64330684918546,-114.87752807915004
32019,Lyon County,Nevada,39.02066970037713,-119.18901350868754
32021,Mineral County,Nevada,38.53855920276182,-118.43493093109275
32023,Nye County,Nevada,38.042216284544736,-116.47179736076566
32027,Pershing County,Nevada,40.440411350756584,-118.40441825662447
32029,Storey County,Nevada,39.44695406963854,-119.5294571907159
32031,Washoe County,Nevada,40.66551344057775,-119.66433064741881
32033,White Pine County,Nevada,39.442166783117706,-114.90163075637929
32510,Carson City,Nevada,39.15113195149387,-119.74757852312494
33001,Belknap County,New Hampshire,43.517888833916366,-71.42265204071063
33003,Carroll County,New Hampshire,43.87380687312587,-71.20311502373121
33005,Cheshire County,New Hampshire,42.91935013550353,-72.25125407399086
33007,Coos County,New Hampshire,44.68960056924974,-71.30556708944094
33009,Grafton County,New Hampshire,43.940673196155444,-71.82080624529263
33011,Hillsborough County,New Hampshire,42.91532766628291,-71.71609825469837
33013,Merrimack County,New Hampshire,43.29745302954869,-71.68023706287278
33015,Rockingham County,New Hampshire,42.98756673759557,-71.12539583835506
33017,Strafford County,New Hampshire,43.296977943348786,-71.02885401164997
33019,Sullivan County,New Hampshire,43.361327220748095,-72.22216505921068
34001,Atlantic County,New Jersey,39.477821945696476,-74.66126669429582
34003,Bergen County,New Jersey,40.95961509253147,-74.07418803945907
34005,Burlington County,New Jersey,39.877725397589124,-74.66806345306553
34007,Camden County,New Jersey,39.80349857402721,-74.9597282148102
34009,Cape May County,New Jersey,39.14951279272867,-74.80054610547461
34011,Cumberland County,New Jersey,39.373912832186036,-75.11071117911655
34013,Essex County,New Jersey,40.78805565713615,-74.24815072405723
34015,Gloucester County,New Jersey,39.71723786447556,-75.14133358469378
34017,Hudson County,New Jersey,40.740791906369545,-74.07510241108737
34019,Hunterdon County,New Jersey,40.56730301115942,-74.91221373561976
34021,Mercer County,New Jersey,40.28343635983862,-74.70178589996839
34023,Middlesex County,New Jersey,40.43917104138453,-74.41170335726979
34025,Monmouth County,New Jersey,40.260021970974435,-74.22159351077016
34027,Morris County,New Jersey,40.86191874794739,-74.54456103773812
34029,Ocean County,New Jersey,39.8855984725049,-74.28145578367365
34031,Passaic County,New Jersey,41.034358068473246,-74.30091188931175
34033,Salem County,New Jersey,39.5876722586825,-75.34910388826233
34035,Somerset County,New Jersey,40.563422133116575,-74.61641775812454
34037,Sussex County,New Jersey,41.13924566365448,-74.69089546184043
34039,Union County,New Jersey,40.66009746717585,-74.30998964525223
34041,Warren County,New Jersey,40.85713885067725,-74.99729923175131
35001,Bernalillo County,New Mexico,35.051360682494206,-106.6701646125055
35003,Catron County,New Mexico,33.91520940364856,-108.40459018475639
35005,Chaves County,New Mexico,33.363287697302404,-104.46692062127147
35006,Cibola County,New Mexico,34.91248491086317,-107.99979837967612
35007,Colfax County,New Mexico,36.60614838434299,-104.64688165511348
35009,Curry County,New Mexico,34.57423633173229,-103.34699565142014
35011,De Baca County,New Mexico,34.34246732903015,-104.41198787357418
35013,Doña Ana County,New Mexico,32.35264937102172,-106.83278388311152
35015,Eddy County,New Mexico,32.471413371617196,-104.30437496553161
35017,Grant County,New Mexico,32.738887912724955,-108.38241141695944
35019,Guadalupe County,New Mexico,34.863294932446266,-104.79065634721641
35021,Harding County,New Mexico,35.85791467905081,-103.82026233261186
35023,Hidalgo County,New Mexico,31.914032764794914,-108.71478184335167
35025,Lea County,New Mexico,32.79210104876128,-103.41247200405985
35027,Lincoln County,New Mexico,33.74529671045551,-105.45928628391641
35028,Los Alamos County,New Mexico,35.86929819230673,-106.3073388508171
35029,Luna County,New Mexico,32.1822512688506,-107.74985909921828
35031,McKinley County,New Mexico,35.580662872999255,-108.26179288507188
35033,Mora County,New Mexico,36.01052744887009,-104.94491959938361
35035,Otero County,New Mexico,32.6131890000119,-105.74144734829613
35037,Quay County,New Mexico,35.10430357225026,-103.54975989617812
35039,Rio Arriba County,New Mexico,36.509581058222864,-106.69313955976004
35041,Roosevelt County,New Mexico,34.02116934630515,-103.48005049103847
35043,Sandoval County,New Mexico,35.68859358442044,-106.86592127958284
35045,San Juan County,New Mexico,36.50851007307321,-108.32063364440762
35047,San Miguel County,New Mexico,35.48050812271177,-104.8158078299481
35049,Santa Fe County,New Mexico,35.50690253674843,-105.97625739553253
35051,Sierra County,New Mexico,33.13049802707647,-107.19240076957793
35053,Socorro County,New Mexico,34.00716393029486,-106.9302480177757
35055,Taos County,New Mexico,36.57827993970374,-105.63100149349219
