fips_code,county_name,state_name,poverty_rate
13227,Pickens County,Georgia,0.10099999999999999
13229,Pierce County,Georgia,0.162
13231,Pike County,Georgia,0.11199999999999999
13233,Polk County,Georgia,0.17300000000000001
13235,Pulaski County,Georgia,0.23
13237,Putnam County,Georgia,0.156
13239,Quitman County,Georgia,0.237
13241,Rabun County,Georgia,0.13
13243,Randolph County,Georgia,0.267
13245,Richmond County,Georgia,0.222
13247,Rockdale County,Georgia,0.13
13249,Schley County,Georgia,0.153
13251,Screven County,Georgia,0.225
13253,Seminole County,Georgia,0.223
13255,Spalding County,Georgia,0.163
13257,Stephens County,Georgia,0.156
13259,Stewart County,Georgia,0.325
13261,Sumter County,Georgia,0.263
13263,Talbot County,Georgia,0.273
13265,Taliaferro County,Georgia,0.245
13267,Tattnall County,Georgia,0.257
13269,Taylor County,Georgia,0.266
13271,Telfair County,Georgia,0.301
13273,Terrell County,Georgia,0.281
13275,Thomas County,Georgia,0.184
13277,Tift County,Georgia,0.192
13279,Toombs County,Georgia,0.228
13281,Towns County,Georgia,0.11599999999999999
13283,Treutlen County,Georgia,0.24
13285,Troup County,Georgia,0.18100000000000002
13287,Turner County,Georgia,0.239
13289,Twiggs County,Georgia,0.213
13291,Union County,Georgia,0.107
13293,Upson County,Georgia,0.175
13295,Walker County,Georgia,0.151
13297,Walton County,Georgia,0.10099999999999999
13299,Ware County,Georgia,0.19899999999999998
13301,Warren County,Georgia,0.242
13303,Washington County,Georgia,0.21600000000000003
13305,Wayne County,Georgia,0.19699999999999998
13307,Webster County,Georgia,0.207
13309,Wheeler County,Georgia,0.363
13311,White County,Georgia,0.10800000000000001
13313,Whitfield County,Georgia,0.155
13315,Wilcox County,Georgia,0.284
13317,Wilkes County,Georgia,0.17800000000000002
13319,Wilkinson County,Georgia,0.20600000000000002
13321,Worth County,Georgia,0.214
15001,Hawaii County,Hawaii,0.165
15003,Honolulu County,Hawaii,0.091
15005,Kalawao County,Hawaii,
15007,Kauai County,Hawaii,0.094
15009,Maui County,Hawaii,0.094
16001,Ada County,Idaho,0.08
16003,Adams County,Idaho,0.122
16005,Bannock County,Idaho,0.11900000000000001
16007,Bear Lake County,Idaho,0.10099999999999999
16009,Benewah County,Idaho,0.13
16011,Bingham County,Idaho,0.111
16013,Blaine County,Idaho,0.069
16015,Boise County,Idaho,0.10099999999999999
16017,Bonner County,Idaho,0.105
16019,Bonneville County,Idaho,0.102
16021,Boundary County,Idaho,0.115
16023,Butte County,Idaho,0.146
16025,Camas County,Idaho,0.08199999999999999
16027,Canyon County,Idaho,0.10099999999999999
16029,Caribou County,Idaho,0.09699999999999999
16031,Cassia County,Idaho,0.115
16033,Clark County,Idaho,0.153
16035,Clearwater County,Idaho,0.145
16037,Custer County,Idaho,0.146
16039,Elmore County,Idaho,0.11800000000000001
16041,Franklin County,Idaho,0.071
16043,Fremont County,Idaho,0.11199999999999999
16045,Gem County,Idaho,0.109
16047,Gooding County,Idaho,0.128
16049,Idaho County,Idaho,0.13699999999999998
16051,Jefferson County,Idaho,0.078
16053,Jerome County,Idaho,0.12300000000000001
16055,Kootenai County,Idaho,0.09300000000000001
16057,Latah County,Idaho,0.14300000000000002
16059,Lemhi County,Idaho,0.13
16061,Lewis County,Idaho,0.135
16063,Lincoln County,Idaho,0.121
16065,Madison County,Idaho,0.20600000000000002
16067,Minidoka County,Idaho,0.11199999999999999
16069,Nez Perce County,Idaho,0.11
16071,Oneida County,Idaho,0.1
16073,Owyhee County,Idaho,0.11800000000000001
16075,Payette County,Idaho,0.11199999999999999
16077,Power County,Idaho,0.124
16079,Shoshone County,Idaho,0.157
16081,Teton County,Idaho,0.066
16083,Twin Falls County,Idaho,0.105
16085,Valley County,Idaho,0.078
16087,Washington County,Idaho,0.135
17001,Adams County,Illinois,0.122
17003,Alexander County,Illinois,0.258
17005,Bond County,Illinois,0.136
17007,Boone County,Illinois,0.10800000000000001
17009,Brown County,Illinois,0.13699999999999998
17011,Bureau County,Illinois,0.114
17013,Calhoun County,Illinois,0.099
17015,Carroll County,Illinois,0.129
